,price,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Cell,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Cache,Graphic Processor,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Battery Backup,Power Supply,Chipset,RAM Frequency,Number of Cores,System Architecture,Multi Card Slot,Hardware Interface,Sound Chip,Sound Properties,Finger Print Sensor,Security Chip,Pointer Device,Included Software,Additional Features,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Memory Slots,Refresh Rate,Ethernet,Expandable Memory,Color Gamut,Certification,International Warranty,RJ45,Lock Port,HDD Capacity,Face Recognition,Wireless WAN,Antivirus,Laptop Bag,Brightness,EMMC Storage Capacity,NFC Support,RPM,Stylus Included,Firewire Port,VGA Port,S-video,RJ11,Other Accessories,Dock Port,Read/Write Speed,TGP,Recovery Options,Inbuilt 4G LTE
0,"₹36,900","Laptop, Power Adaptor, User Guide, Warranty Documents",15ADA7,82R10049IN,15ADA7,IdeaPad 1,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,3 Cell,Yes,AMD,Ryzen 3 Dual Core,10th Gen,Yes,512 GB,8 GB,DDR4,3250U,3.5,5,AMD Radeon Radeon,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C® 3.2 Gen 1 (support data transfer only)",1x HDMI 1.4b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, TN 220nits Anti-glare",Dual Stereo Speakers,Dual Array Microphone,"11ac, 2x2",v5.0,360.2 x 236 x 17.9 mm,1.6 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",No,2 Years Onsite�Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,Upto 9.5 hr,65W Round Tip (3-pin),AMD SoC Platform,2400 MHz,2,64,1x Card reader,PCIe NVMe,High Definition (HD) Audio,Dolby Audio,No,Firmware TPM 2.0,Multi-touch Touchpad,Microsoft Office Home and Student 2019,56.5 WHr Li-ion Battery,GDDR6,4 GB,2,144 Hz,10/100/1000 Mbps,NA,NA,NA,0,Yes,Yes,1 TB,No,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.1,1 Year McAfee,No,300 Nits,128 GB,No,5400,Yes,No,No,No,No,No,No,NA,50 W,Yes,No
1,"₹53,990","Laptop, Power Adaptor, User Guide, Warranty Documents",14ARE05,81YM002TIN,FX506LHB-HN358W,Ideapad Slim 5,Graphite Grey,Thin and Light Laptop,Processing & Multitasking,2 cell,Yes,AMD,Ryzen 7 Octa Core,10th Gen,Yes,512 GB,8 GB,DDR4,4700U,2.0 GHz with Turbo Boost Upto 4.1 GHz,12 MB,AMD Radeon,64 bit,Windows 10 Home,Windows 11 Home,Yes,"2 x USB 3.2 (1st Gen) (One Always on), 1 x USB 3.2 Type C (1st Gen) (with the Function of PD 3.0 and DP 1.2)",1 x HDMI Port (v1.4b),No,35.56 cm (14 inch),1920 x 1080 pixel,"Full HD LED Backlit Anti-glare TN Display (300 nits Brightness, 16:9 Aspect Ratio, 45% NTSC Color Gamut)",Built-in Dual Speakers,Built-in Dual Array Microphone,IEEE 802.11ax (2x2),v5.1,321.57 x 211.59 x 17.9 mm,1.39 kg,Not Available,"720P HD Webcam (with Privacy Shutter, Fixed Focus)",English Backlit Keyboard,Yes,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Premium Care- 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,Upto 12 hours,65 W AC Adapter,AMD SoC,3200 MHz,8,64 bit,"4-in-1 Media Reader (MMC, SD, SDHC, SDXC)",PCIe 3.0 NVMe M.2,Realtek ALC3287 Codec,2 x 2 W Stereo Speakers with Dolby Atoms,Yes,TPM 2.0,NA,Office Home and Student 2021,"48WHrs, 3S1P",DDR4,4 GB,NA,144 Hz,Yes,Upto 16 GB,45% NTSC,RoHS compliant,0 Year,Yes,Yes,1 TB,No,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5,McAfee Multi Device Security 15 Months Subscription,No,300 Nits,64 GB,No,3200,Yes,No,No,No,No,No,No,NA,60 W,Operating System,No
2,"₹49,990","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",FX506LHB-HN358W,90NR03U2-M00D00,E41-55,TUF Gaming F15,Black Plastic,Gaming Laptop,Gaming,2 cell,No,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,10200H,"Base Frequency 2.4 GHz, Max Turbo Frequency at 4.1 GHz",8 MB,NVIDIA GeForce GTX 1650,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 2.0 Type-A, 2 x USB 3.2 Gen 1 Type-A",1 x HDMI 2.0b,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, IPS level, Aspect Ratio: 16:9, Anti-glare Display, Refresh Rate: 144 Hz, Viewing Angle: 170/170, Brightness: 250 nits, Contrast: 1000:1, 45% NTSC%, 62.5% SRGB%, 47.1% Adobe%,",Built-in Dual Speaker System with Smart Amplifier Technology,Built-in Array Microphone,Wi-Fi 6 (802.11ax) (Dual band) 2 x 2,V5.2,359 x 256 x 24.7 mm,2.30 kg kg,Not Available,720P HD camera,Backlit Chiclet Keyboard 1-Zone RGB,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,6 HOUR,150W AC Adapter,Mobile Intel HM470 Express Chipsets,2933 MHz,4,64,1x 4-in-1 Card Reader,PCIe NVMe,Realtek ALC256,DTS software,Yes,"BIOS Administrator Password and User Password Protection, Kensington Security Slot, Trusted Platform Module (Firmware TPM)",Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player","37WHrs Li-ion, Every technology product of today’s time is excelling in some of the key parameters while showing limitations in other parameters. The same is the case with laptops that come with strengths as well as weaknesses. So before start shopping for any of your favorite laptop models available in the market, it is necessary to make yourself well versed with its unique features and limitations.",GDDR6,4 GB,1,165 Hz,10/100/1000,16,45% NTSC,,1 Year,Yes,Kensington Lock Slot,1 TB,No,Wi-Fi 5(802.11ac) (Dual band) 2*2 + Bluetooth 4.2,McAfee,No,300 Nits,64 GB,No,5400,Yes,No,No,No,No,No,No,NA,140 W,NA,No
3,"₹18,990","LAPTOP, adopter",E41-55 45-2,82FJ00AGIH,X415MA-BV011W,VivoBook 14 (2021),Iron_grey,Laptop,"Everyday Use, Entertainment, Processing & Multitasking, Travel & Business, Performance",3,No,AMD,Athlon Dual Core,11th Gen,Yes,256 GB,4 GB,DDR4,N4020,1.1 GHz upto max turbo frequency at 2.8 Ghz,4,AMD Radeon RADEON,64 bit,DOS,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,No,35.56 cm (14 inch),HD pixel,"HD 16:9 aspect ratio, 200nits, 45% NTSC color gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,Wi-Fi 5(802.11ac),V5.0,325.4 x 216 x 19.9 mm,1.60 kg,Not Available,VGA camera,Chiclet Keyboard,No,on site,ON SITE,MANUFACTURING DEFACTS,Physical Damage,1 Year,Upto 15 Hours,33W AC Adapter,NA,3200 MHz,2,64,1x multi-format SD media card reader,PCIe NVMe,High Definition Audio,SonicMaster,Yes,Firmware TPM 2.0,HP Imagepad with multi-touch gesture support,No,49.9 WHr Li-polymer Battery,GDDR6,4 GB,1,144 Hz,"Gigabit Ethernet, Wake-on-LAN Ready",16 GB,,,1 Year,Yes,Function key lock,1 TB,No,Intel Wireless-AX MAC,1 Year McAfee,No,250 Nits,32 GB,No,5400,Yes,No,No,No,No,"Sleeve, Stand, Stylus Pen",No,NA,50 W,One Touch Recovery,No
4,"₹21,990","Laptop, Power Adaptor, User Guide, Warranty Documents",X415MA-BV011W,90NB0TG1-M002R0,X515JA-EJ362WS,VivoBook 15 (2022),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,2 Cell,No,Intel,Celeron Dual Core,11th Gen,Yes,256 GB,4 GB,DDR4,1005G1,1.2 GHz upto max turbo frequency at 3.4 Ghz,4,Intel Integrated UHD,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4 port,No,35.56 cm (14 inch),1366 x 768 Pixel,"Full HD (200nits, 45% NTSC color gamut, non-OLED, Anti-glare display)",Built-in Speakers,Built-in Microphone,Wi-Fi 5(802.11ac) 1x1,v4.1,360.2 x 234.9 x 19.9 mm,1.80 kg,Not Available,VGA Webcam,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,Up to 12 hours,45W AC Adapter,Intel SoC Platform,3200 MHz,8,64 Bit,4-in-1 Card Reader,PCIe NVMe M.2,High Definition (HD) Audio,SonicMaster Audio by ICEpower,No,Firmware TPM 2.0,Trackpad,Microsoft Office 2021 Home & Student,Integrated 45Wh,GDDR6,6 GB,SO-DIMM x 2 slot,60 Hz,Not Available,16,,,1 Year,Yes,Kensington Lock Slot,1 TB,No,Wi-Fi 5 (802.11ac) 1*1,NA,No,220 Nits,64 GB,No,5400,No,No,No,No,No,"ROG Ranger BP2701 Gaming Backpack, ROG Delta headset, Palm rest, ROG Chakram Core mouse P511, ROG X DL2 - Thank you card",No,NA,,HP Recovery Manager,No
5,"₹33,990","Laptop, Power Adaptor, User Guide, Warranty Documents",X515JA-EJ362WS | X515JA-EJ392WS | X515JA-EJ382WS,90NB0SR2-M44040 | 90NB0SR2-M02SR0 | 90NB0SR2-M44030 | 90NB0SR2-M02XJ0 | 90NB0SR2-M01SB0 | 90NB0SR2-M01ZF0,15ITL6,2020 Macbook Air,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,2 Cell,Yes,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,Apple M1 Chip,4.2,8,Intel Integrated UHD,64 bit,Windows 11 Home,Windows 11 Home,Yes,"2 x Thunderbolt / USB 4 Ports (Supports Charging, DisplayPort, Thunderbolt 3 (Upto 40 Gbps), USB 3.1 (2nd Gen, Upto 10 Gbps))",1x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology)",Built-in Speakers,Three-mic Array with Directional Beamforming,IEEE 802.11ax (Wi-Fi 6),v4.1,30.41 cm x 1.61 cm x 21.24 cm,1.29 kg,Not Available,720p FaceTime HD Webcam,Backlit Magic Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,Upto 5.5 Hours,30 W AC Adapter,Intel SoC (System on Chip) Platform,3200 MHz,4,64,1 x Micro SD card reader,PCIe NVMe,High Definition (HD) Audio,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos Playback",Yes,TPM 2.0,Multigesture Touchpad,NA,"41 Wh Li-ion, Support battery fast charge",GDDR6,4 GB,2,144 Hz,Gigabit Ethernet,Upto 32 GB,,,1 Year,Yes,Kensington Lock Port,1 TB,No,Wi-Fi 5(802.11ac) (Dual band) + Bluetooth 4.1,NA,No,250 Nits,64 GB,No,5400,Yes,No,No,No,No,ROG Zephyrus G14 Sleeve (2022),No,NA,,Yes,
6,"₹87,990","MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents",MGN63HN/A,MGN63HN/A,14s - dy2507TU,IdeaPad 3,Space Grey,Thin and Light Laptop,Processing & Multitasking,3 cell,No,Apple,M1,11th Gen,Yes,256 GB,8 GB,DDR4,1135G7,Up to 4.1 GHz,6,NA,64 bit,Mac OS Big Sur,Windows 11 Home,Yes,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1 (support data transfer only)","1x HDMI 2.1, 1x HDMI 1.4b",No,33.78 cm (13.3 inch),2560 x 1600 Pixel,"FHD, (TN 250 nits Anti-glare)",Built-in Stereo Speakers,Dual Array Microphone,"Wi-Fi 6 11ax, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 Kg,Not Available,HD 720p with Privacy Shutter,"Backlit, English",No,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,2 Year,Upto 14 hours,"65W Round Tip (2-pin, Wall-mount)",Intel SoC Platform,3202 MHz,2,64,SD card reader,PCIe NVMe,High Definition Audio,"High Definition (HD) Audio, Realtek ALC3287 codec",Yes,Firmware TPM 2.0,HP Imagepad with multi-touch gesture support,Office Home and Student 2021,37 WHrs Li-ion Battery,GDDR6,2 GB,2 Slots,144 Hz,10/100/1000/2500 Mbps,16,,,1 Year,No,Kensington Lock Slot,1 TB,No,Wi-Fi 5 (802.11ac) 2*2,McAfee,No,,64 GB,No,5400,No,No,No,No,No,No,No,NA,,,
7,"₹52,990","Laptop, Power Adapter, User Guide, Warranty Documents",15ITL6,82H802KVIN,V15 ITL G2,14s Intel,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,3 Cell,Yes,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,1115G4,Base Frequency 3.0 GHz with Turbo Boost Upto 4.1 GHz,6 MB,Intel Integrated Iris Xe Graphics,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x SuperSpeed USB Type-C 5 Gbps signaling rate, 2x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, IPS, micro-edge, anti-glare (Brightness: 250 nits, 157 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.2,325 x 216 x 17.0 mm,1.41 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, Natural Silver keyboard",No,2 Years Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,Up to 10 hours,65W USB-C (3-pin) AC adapter,Intel SoC Platform,3200 MHz,2,64 Bit,1x Card reader,PCIe NVMe M.2,High Definition (HD) Audio,"Dolby Audio, High Definition (HD) Audio, Realtek ALC3287 codec",Yes,Firmware TPM 2.0,Multi-gesture Touchpad (Moisture Resistant),"MS Office Home & Student 2019, Mi Smart Share, DTS Audio processing",57Wh Integrated Battery,GDDR6,4 GB,2,144 Hz,10/100/1000 Mbps,Upto 32 GB,,,1 Year,No,Kensington Lock Port,1 TB,No,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.1,NA,No,,64 GB,No,3200,Yes,No,No,No,No,Stylus Pen,No,NA,,,
8,"₹34,990","Laptop, Power Adapter, User Guide, Warranty Documents",14s - dy2507TU,6N024PA#ACJ,X515EA-EJ322WS,V15 G2,Natural Silver,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",2 Cell,Yes,Intel,Core i3,12th Gen,Yes,256 GB,8 GB,DDR4,1115G4,3.0 GHz up to max turbo frequency at 4.1 GHz,6,Intel Integrated UHD Graphics,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer Only)",1 x HDMI 1.4 port,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD, Anti-glare Display",Built-in Speakers,Dual array microphone,802.11ac 2x2 Wi-Fi,v5.0,359.2 x 235.8 x 19.9 mm,1.7 kg kg,Not Available,"1MP HD with Array Microphone, with Thinkshutter",Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,2 Year,Upto 6 Hrs.,65W Round Tip Adapter,AMD Integrated SoC,3200 MHz,2,64,1x Card reader,PCIe NVMe,High Definition (HD) Audio,DTS Audio Processing,Yes,Firmware TPM 2.0,Force Touch Trackpad,"Windows 11, 1 Year McAfee",42WHrs Li-ion,GDDR6,4 GB,2,60 Hz,Gigabit Ethernet,Upto 16 GB,,,1 Year,No,Kensington Lock Port,1 TB,No,Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,1 Year,No,,64 GB,No,5400,Yes,No,No,,No,ROG Zephyrus G14 Sleeve (2022),No,Not Available,,,
9,"₹33,990","Laptop, User manual, Adapter",V15 ITL G2,82KBA033IH,IdeaPad 3 14ACL6,Vivobook 15,Iron Grey,Laptop,"Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business","90WHrs, 4S1P, 4-cell Li-ion",No,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,1115G4,2.1 GHz with Turbo Boost Upto 4 GHz,6 MB,Intel Integrated UHD,64 bit,Windows 11 Home,Windows 10 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4,No,39.62 cm (15.6 Inch),1920x1080 Pixels,"Full HD 16:9 Aspect ratio, LED Backlit, 200nits, 45% NTSC Color Gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,Wi-Fi 5(802.11ac) (Dual band) 1x1,v5.0,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,"Backlit, English",Yes,1 Year Onsite Warranty + 1 Year Accidental Damage Protection Add On,Onsite,Manufacturing Defects,Physical Damage,1 Year,Upto 11 hours,65 W Type-C Adaptor,AMD SoC Platform,3200 MHz,4,64,1x Micro SD card reader,M.2 NVMe™ PCIe® 3.0 SSD,High Definition Audio,Built-in speaker,No,TPM 2.0,Multi-touch Touchpad,Microsoft Office 2021,"46 Whr Battery, 802.11ac(2x2) - (Wi-Fi 5)",GDDR6,4 GB,1,144 Hz,Yes,16 GB,,,1 Year,Yes,Kensington Lock Port,1 TB,No,Intel AC9461,McAfee,No,,64 GB,No,5400,No,No,No,,No,Palm rest,No,NA,,,
